|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1426.28        2500.00       0.237127E-001   95.0851        3.33918        1.46436                 NaN  0.876893E-001            NaN            NaN            NaN            NaN
  1425.21        2500.00       0.161288E-003   99.4768       0.370631       0.128329                 NaN  0.240706E-001            NaN            NaN            NaN            NaN
  1424.14        2500.00       0.151686E-003   99.4793       0.128414       0.368679                 NaN  0.235045E-001            NaN            NaN            NaN            NaN
  1423.07        2500.00       0.157665E-003   99.4794       0.138866       0.364528                 NaN  0.170303E-001            NaN            NaN            NaN            NaN
  1422.01        2500.00       0.128976E-003   99.4777       0.119104       0.373620                 NaN  0.293996E-001            NaN            NaN            NaN            NaN
  1420.94        2500.00       0.111865E-003   99.4909       0.128426       0.359167                 NaN  0.213711E-001            NaN            NaN            NaN            NaN
  1419.87        2500.00       0.891517E-004   99.4850       0.128599       0.364526                 NaN  0.218214E-001            NaN            NaN            NaN            NaN
  1418.80        2500.00       0.893773E-004   99.4890       0.360426       0.129366                 NaN  0.211313E-001            NaN            NaN            NaN            NaN
  1417.73        2500.00       0.768736E-004   99.4757       0.133313       0.369546                 NaN  0.213691E-001            NaN            NaN            NaN            NaN
  1416.66        2500.00       0.585441E-004   99.5054       0.126201       0.348707                 NaN  0.196125E-001            NaN            NaN            NaN            NaN
  1415.60        2500.00       0.300403E-003   99.4628       0.300911       0.234590                 NaN  0.135213E-002            NaN            NaN            NaN            NaN
  1414.53        2500.00       0.740995E-003   99.5267       0.407438       0.268843E-001            NaN  0.381994E-001            NaN            NaN            NaN            NaN
  1413.46        2500.00                 NaN   99.0465       0.202533       0.415009                 NaN  0.121791       0.214215                 NaN            NaN            NaN
  1412.39        2500.00                 NaN   98.9025       0.301837       0.349816                 NaN  0.117291       0.328583                 NaN            NaN            NaN
  1411.32        2500.00                 NaN   98.7904       0.436448       0.138463                 NaN  0.253970       0.380675                 NaN            NaN            NaN
