|6.6.6
Archiving\03_Data\fracLP/QFM_m3.25/KHA22/KHA22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  2000.00        500.000        99.7753       0.210961       0.137016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.7753       0.210972       0.137018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.7753       0.210983       0.137021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.7753       0.210994       0.137024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.7753       0.211005       0.137026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.7753       0.211016       0.137029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.7753       0.211027       0.137032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.7753       0.211038       0.137035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.7752       0.211049       0.137038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.7752       0.211060       0.137040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.7752       0.211071       0.137043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.7752       0.211082       0.137046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.7752       0.211094       0.137049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.7752       0.211105       0.137052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.7752       0.211116       0.137055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.7752       0.211127       0.137058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.7752       0.211138       0.137061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.7751       0.211149       0.137064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.7751       0.211161       0.137067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.7751       0.211172       0.137070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.7751       0.211183       0.137073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.7751       0.211194       0.137076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.7751       0.211206       0.137079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.7751       0.211217       0.137082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.7751       0.211228       0.137085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.7751       0.211240       0.137088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.7750       0.211251       0.137091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.7750       0.211262       0.137094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.7750       0.211274       0.137097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.7750       0.211285       0.137100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.7750       0.211297       0.137104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.7750       0.211308       0.137107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.7750       0.211319       0.137110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.7750       0.211331       0.137113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.7749       0.211342       0.137117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.6152       0.211375       0.134092E-001  0.160025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.7420                 NaN            NaN  0.258040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.4186                 NaN            NaN  0.581403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.4233                 NaN            NaN  0.576730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.4277                 NaN            NaN  0.572264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4310                 NaN            NaN  0.569013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4343                 NaN            NaN  0.565681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4378                 NaN            NaN  0.562176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4414                 NaN            NaN  0.558602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4449                 NaN            NaN  0.555107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4483                 NaN            NaN  0.551721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4510                 NaN            NaN  0.549030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4543                 NaN            NaN  0.545738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4572                 NaN            NaN  0.542799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4568                 NaN            NaN  0.543236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4655                 NaN            NaN  0.534539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4183                 NaN            NaN  0.581695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.5666                 NaN            NaN  0.433421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4186                 NaN            NaN  0.581352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4708                 NaN            NaN  0.529170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4789                 NaN            NaN  0.520780       0.349684E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4672                 NaN            NaN  0.521846       0.109220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4644                 NaN            NaN  0.524524       0.110761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4753                 NaN            NaN  0.513936       0.107360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4658                 NaN            NaN  0.523223       0.110024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4827                 NaN            NaN  0.506667       0.106058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4774                 NaN            NaN  0.511911       0.107354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4794                 NaN            NaN  0.509942       0.107007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4804                 NaN            NaN  0.508990       0.106573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4816                 NaN            NaN  0.507773       0.106481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
