|6.6.6
Archiving\03_Data\frac/QFM_m5/YM20/YM20_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  2000.00        2500.00        96.0354       0.246856       0.240851        3.43717       0.397681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        95.9764       0.311289       0.205997        3.46651       0.397714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        95.9177       0.375576       0.171223        3.49574       0.397747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        95.8592       0.439576       0.136603        3.52483       0.397780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        95.8010       0.503266       0.102151        3.55378       0.397812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        95.7430       0.566735       0.678184E-001   3.58261       0.397845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        95.6855       0.629719       0.337483E-001   3.61128       0.397877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        95.6314       0.687004       0.276252E-002   3.63900       0.397909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        95.6133       0.685217       0.375066E-002   3.65799       0.397930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        95.5899       0.692184                 NaN   3.67816       0.397953E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        95.5707       0.692221                 NaN   3.69729       0.397975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        95.5516       0.692259                 NaN   3.71637       0.397996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        95.5325       0.692296                 NaN   3.73543       0.398018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        95.5134       0.692334                 NaN   3.75450       0.398039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        95.4944       0.692371                 NaN   3.77338       0.398061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        95.4756       0.692408                 NaN   3.79222       0.398082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        95.4567       0.692445                 NaN   3.81105       0.398103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        95.4379       0.692482                 NaN   3.82984       0.398124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        95.4191       0.692519                 NaN   3.84859       0.398146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        95.4003       0.692556                 NaN   3.86729       0.398167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        95.3817       0.692592                 NaN   3.88592       0.398188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        95.3631       0.692629                 NaN   3.90449       0.398209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        95.3445       0.692665                 NaN   3.92304       0.398230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        95.3259       0.692702                 NaN   3.94155       0.398251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        95.3069       0.692739                 NaN   3.96058       0.398272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
