|6.6.6
Archiving\03_Data\frac/QFM_m5/YM20/YM20_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  2000.00        2500.00        98.2649       0.202176       0.141624        1.37704       0.143047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        98.2206       0.254984       0.121142        1.38894       0.143069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        98.1765       0.307688       0.100703        1.40079       0.143092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        98.1326       0.360172       0.803500E-001   1.41259       0.143114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        98.0888       0.412418       0.600917E-001   1.42434       0.143137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        98.0453       0.464497       0.398993E-001   1.43604       0.143159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        98.0020       0.516194       0.198570E-001   1.44767       0.143181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        97.9619       0.563232       0.162559E-002   1.45892       0.143202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        97.9550       0.561823       0.220720E-002   1.46662       0.143214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        97.9433       0.567597                 NaN   1.47480       0.143228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        97.9354       0.567687                 NaN   1.48256       0.143240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        97.9276       0.567776                 NaN   1.49030       0.143252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        97.9198       0.567865                 NaN   1.49803       0.143265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        97.9120       0.567954                 NaN   1.50576       0.143277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
