|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m5/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1586.54        500.000       0.108153E-001   99.7849       0.201289       0.232816E-003  0.276598E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        500.000       0.231780E-002   99.7341       0.245224       0.191940E-004  0.183151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        500.000                 NaN   98.5279        1.47207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        500.000                 NaN   98.6876        1.27028       0.421467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        500.000                 NaN   99.6039       0.396125       0.384491E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        500.000                 NaN   99.1595       0.828662       0.118589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        500.000                 NaN   99.1664       0.833588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        500.000                 NaN   99.1762       0.815852       0.793114E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        500.000                 NaN   99.1855       0.743993       0.705034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        500.000                 NaN   99.1902       0.809801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        500.000                 NaN   99.1971       0.802853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        500.000                 NaN   99.2056       0.763044       0.313358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        500.000                 NaN   99.2102       0.782240       0.755536E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        500.000                 NaN   99.2162       0.766885       0.169519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        500.000                 NaN   99.2290       0.748259       0.226963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        500.000                 NaN   99.2334       0.737453       0.291368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        500.000                 NaN   99.2409       0.729896       0.291945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        500.000                 NaN   99.2458       0.726543       0.276260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        500.000                 NaN   99.2123       0.783712       0.396460E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        500.000                 NaN   99.3032       0.647466       0.493758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        500.000                 NaN   99.2646       0.711955       0.234124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        500.000                 NaN   99.2732       0.702279       0.245683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.1158       0.873925       0.102990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        500.000                 NaN   99.4522       0.506735       0.411076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        500.000                 NaN   99.2913       0.687846       0.208499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000                 NaN   99.2957       0.684152       0.201141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        500.000                 NaN   99.3011       0.679903       0.190127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.85        500.000                 NaN   99.3070       0.674759       0.182316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.38        500.000                 NaN   99.2987       0.682412       0.189018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000                 NaN   99.3331       0.650619       0.162513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        500.000                 NaN   99.3223       0.661615       0.160578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        500.000                 NaN   99.3293       0.655894       0.147791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        500.000                 NaN   99.1991       0.786090       0.148373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        500.000                 NaN   99.4731       0.509129       0.177246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        500.000                 NaN   99.3432       0.650841       0.591608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        500.000                 NaN   99.3468       0.643130       0.100287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
