|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m5/YM20/YM20_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1586.54        500.000       0.694196E-002   99.8155       0.176265       0.199055E-003  0.104749E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        500.000       0.148796E-002   99.7769       0.214696       0.164078E-004  0.693584E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        500.000                 NaN   98.7095        1.29052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        500.000                 NaN   98.8507        1.11321       0.360875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        500.000                 NaN   99.6534       0.346616       0.328385E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        500.000                 NaN   99.2644       0.725434       0.101325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        500.000                 NaN   99.2704       0.729585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        500.000                 NaN   99.2793       0.713911       0.677305E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        500.000                 NaN   99.2890       0.650851       0.601944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        500.000                 NaN   99.2917       0.708279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        500.000                 NaN   99.2980       0.702012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        500.000                 NaN   99.3062       0.667047       0.267180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        500.000                 NaN   99.3098       0.683773       0.643921E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        500.000                 NaN   99.3154       0.670179       0.144478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        500.000                 NaN   99.3270       0.653653       0.193315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        500.000                 NaN   99.3311       0.644088       0.248091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        500.000                 NaN   99.3379       0.637286       0.248453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        500.000                 NaN   99.3423       0.634219       0.235014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        500.000                 NaN   99.3125       0.684113       0.337240E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        500.000                 NaN   99.3932       0.564875       0.419747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        500.000                 NaN   99.3590       0.621102       0.198961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        500.000                 NaN   99.3667       0.612419       0.208703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.2293       0.761936       0.874422E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        500.000                 NaN   99.5235       0.441601       0.348869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        500.000                 NaN   99.3828       0.599470       0.176915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000                 NaN   99.3869       0.596064       0.170597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        500.000                 NaN   99.3916       0.592271       0.161192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.85        500.000                 NaN   99.3969       0.587652       0.154529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.38        500.000                 NaN   99.3899       0.594134       0.160131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000                 NaN   99.4199       0.566335       0.137642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        500.000                 NaN   99.4107       0.575708       0.135922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        500.000                 NaN   99.4169       0.570639       0.125049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        500.000                 NaN   99.3035       0.683924       0.125495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        500.000                 NaN   99.5423       0.442708       0.149861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        500.000                 NaN   99.4291       0.565857       0.500042E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        500.000                 NaN   99.4325       0.559020       0.847280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        500.000                 NaN   99.4384       0.551743       0.989161E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        500.000                 NaN   99.4429       0.549106       0.798317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        500.000                 NaN   99.4481       0.543039       0.883841E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        500.000                 NaN   99.4497       0.543961       0.630568E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        500.000                 NaN   99.4546       0.539679       0.573409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        500.000                 NaN   99.4584       0.535755       0.579687E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        500.000                 NaN   99.4620       0.534173       0.382751E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        500.000                 NaN   99.0729       0.920169       0.690773E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        500.000                 NaN   99.8625       0.123763       0.137598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000                 NaN   99.4720       0.527951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000                 NaN   99.4795       0.500603       0.199150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000                 NaN   99.4810       0.516440       0.258113E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        500.000                 NaN   99.4831       0.516920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        500.000                 NaN   99.4903       0.493329       0.163931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        500.000                 NaN   99.4894       0.510563       0.813455E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        500.000                 NaN   99.4932       0.506771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        500.000                 NaN   99.4966       0.503431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
