|6.6.6
Archiving\03_Data\Deq/QFM/YM20/YM20_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.6529       0.347135                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.6378       0.362194                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.6227       0.377257                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.6077       0.392322                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5926       0.407391                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5775       0.422464                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5625       0.437539                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5474       0.452617                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5323       0.467699                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.4999       0.500070                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.4676       0.532449                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.4352       0.564835                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.4028       0.597228                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3704       0.629630                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3380       0.662038                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.3055       0.694455                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2731       0.726879                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2073       0.792713                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1414       0.858566                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.0756       0.924436                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.0097       0.990325                 NaN            NaN            NaN            NaN            NaN
