|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/TIS/TIS_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1426.28        500.000        95.0594        3.13936        1.79940                 NaN  0.183363E-002            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.9275       0.475162E-001  0.249949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        98.9883       0.344505       0.667205                 NaN  0.936509E-006            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.4624       0.183709       0.353871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.4592       0.356295       0.184534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.8461       0.530256E-001  0.100622                 NaN            NaN  0.236589E-003            NaN            NaN            NaN            NaN
  1419.87        500.000        99.1040       0.316108       0.574503                 NaN            NaN  0.540513E-002            NaN            NaN            NaN            NaN
  1418.80        500.000        99.4763       0.178164       0.345534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.4458       0.361862       0.189062                 NaN            NaN            NaN  0.325183E-002            NaN            NaN            NaN
  1416.66        500.000        99.8496       0.574984E-001  0.446479E-001            NaN            NaN            NaN  0.482415E-001            NaN            NaN            NaN
  1415.60        500.000        97.2371        1.06059       0.818383                 NaN            NaN            NaN  0.883910                 NaN            NaN            NaN
  1414.53        500.000        98.5354       0.561897       0.433960                 NaN            NaN            NaN  0.468719                 NaN            NaN            NaN
  1413.46        500.000        98.5335       0.562400       0.434759                 NaN            NaN            NaN  0.469307                 NaN            NaN            NaN
  1412.39        500.000        98.5967       0.537976       0.416028                 NaN  0.357959E-005            NaN  0.449289                 NaN            NaN            NaN
  1411.32        500.000        98.5945       0.538693       0.416883                 NaN            NaN            NaN  0.449923                 NaN            NaN            NaN
  1410.25        500.000        98.8599       0.586513                 NaN            NaN  0.156251                 NaN  0.397365                 NaN            NaN            NaN
  1409.19        500.000        98.3922       0.299489       0.793715                 NaN            NaN            NaN  0.514578                 NaN            NaN            NaN
  1408.12        500.000        98.6496       0.514997       0.401728                 NaN  0.116985E-002            NaN  0.432485                 NaN            NaN            NaN
  1407.05        500.000        98.6737       0.376687       0.427804                 NaN  0.804762E-001            NaN  0.441304                 NaN            NaN            NaN
  1405.98        500.000        98.6902       0.436232       0.321660                 NaN  0.109695                 NaN  0.442258                 NaN            NaN            NaN
  1404.91        500.000        98.7090       0.431084       0.313573                 NaN  0.110166                 NaN  0.436213                 NaN            NaN            NaN
  1403.84        500.000        98.7247       0.427396       0.305612                 NaN  0.110834                 NaN  0.431420                 NaN            NaN            NaN
  1402.78        500.000        98.7406       0.424004       0.297575                 NaN  0.111401                 NaN  0.426376                 NaN            NaN            NaN
  1401.71        500.000        98.7582       0.288807       0.419639                 NaN  0.112351                 NaN  0.420997                 NaN            NaN            NaN
  1400.64        500.000        98.7725       0.416770       0.281256                 NaN  0.112876                 NaN  0.416583                 NaN            NaN            NaN
  1399.57        500.000        98.7908       0.272779       0.412070                 NaN  0.113513                 NaN  0.410853                 NaN            NaN            NaN
  1398.50        500.000        98.8052       0.266301       0.408217                 NaN  0.114066                 NaN  0.406228                 NaN            NaN            NaN
  1397.43        500.000        98.8210       0.404553       0.258322                 NaN  0.114722                 NaN  0.401395                 NaN            NaN            NaN
  1396.37        500.000        98.8348       0.233612       0.406597                 NaN  0.125753                 NaN  0.399282                 NaN            NaN            NaN
  1395.30        500.000        98.8485       0.393782       0.261272                 NaN  0.105766                 NaN  0.390697                 NaN            NaN            NaN
  1394.23        500.000        98.8609       0.238941       0.393650                 NaN  0.117186                 NaN  0.389330                 NaN            NaN            NaN
  1393.16        500.000        97.7283       0.793432       0.460955                 NaN  0.240760                 NaN  0.776573                 NaN            NaN            NaN
  1392.09        500.000        99.8925       0.379423E-001  0.217283E-001            NaN  0.112531E-001            NaN  0.365624E-001            NaN            NaN            NaN
  1391.02        500.000        99.0722       0.327624       0.181763                 NaN  0.100320                 NaN  0.318064                 NaN            NaN            NaN
  1389.96        500.000        98.9201       0.381791       0.210208                 NaN  0.117963                 NaN  0.369917                 NaN            NaN            NaN
  1388.89        500.000        98.9297       0.379678       0.204205                 NaN  0.119087                 NaN  0.367285                 NaN            NaN            NaN
  1387.82        500.000        98.9427       0.377208       0.197613                 NaN  0.119394                 NaN  0.363044                 NaN            NaN            NaN
  1386.75        500.000        98.9562       0.190739       0.374287                 NaN  0.119903                 NaN  0.358841                 NaN            NaN            NaN
  1385.68        500.000        99.8855                 NaN            NaN            NaN  0.190926E-001            NaN  0.954532E-001            NaN            NaN            NaN
  1384.61        500.000        97.9553       0.835835       0.528690E-001            NaN  0.449364       0.396635E-003  0.706205                 NaN            NaN            NaN
  1383.55        500.000        99.1219       0.301989       0.308009                 NaN  0.783132E-006            NaN  0.268145                 NaN            NaN            NaN
  1382.48        500.000        98.9954       0.368443       0.303673                 NaN  0.936648E-002            NaN  0.323160                 NaN            NaN            NaN
  1381.41        500.000        99.0134       0.162250       0.361836                 NaN  0.121866                 NaN  0.340636                 NaN            NaN            NaN
  1380.34        500.000        99.0240       0.359812       0.156514                 NaN  0.122321                 NaN  0.337329                 NaN            NaN            NaN
  1379.27        500.000        99.0370       0.150368       0.357038                 NaN  0.122501                 NaN  0.333094                 NaN            NaN            NaN
  1378.20        500.000        99.0475       0.354784       0.144981                 NaN  0.122937                 NaN  0.329848                 NaN            NaN            NaN
  1377.13        500.000        99.0569       0.352564       0.140369                 NaN  0.123344                 NaN  0.326830                 NaN            NaN            NaN
  1376.07        500.000        99.0684       0.350595       0.134209                 NaN  0.123693                 NaN  0.323070                 NaN            NaN            NaN
  1375.00        500.000        99.0784       0.130318       0.347990                 NaN  0.123473                 NaN  0.319770                 NaN            NaN            NaN
  1373.93        500.000        99.0886       0.124994       0.346038                 NaN  0.123821                 NaN  0.316530                 NaN            NaN            NaN
  1372.86        500.000        99.0983       0.120332       0.344004                 NaN  0.123976                 NaN  0.313402                 NaN            NaN            NaN
  1371.79        500.000        99.1077       0.115659       0.341788                 NaN  0.124402                 NaN  0.310418                 NaN            NaN            NaN
  1370.72        500.000        99.1177       0.110019       0.340661                 NaN  0.124501                 NaN  0.307135                 NaN            NaN            NaN
  1369.66        500.000        99.1263       0.340283       0.102762                 NaN  0.125731                 NaN  0.304956                 NaN            NaN            NaN
  1368.59        500.000        99.1391       0.103415       0.334177                 NaN  0.123516                 NaN  0.299793                 NaN            NaN            NaN
  1367.52        500.000        99.1463       0.976391E-001  0.333912                 NaN  0.124471                 NaN  0.297649                 NaN            NaN            NaN
  1366.45        500.000        99.1532       0.333177       0.933730E-001            NaN  0.124805                 NaN  0.295492                 NaN            NaN            NaN
  1365.38        500.000        99.1641       0.329845       0.898802E-001            NaN  0.124383                 NaN  0.291829                 NaN            NaN            NaN
  1364.31        500.000        99.1616       0.945463E-001  0.330518                 NaN  0.121272                 NaN  0.292085                 NaN            NaN            NaN
  1363.25        500.000        99.1877       0.726056E-001  0.327461                 NaN  0.127828                 NaN  0.284425                 NaN            NaN            NaN
  1362.18        500.000        99.1890       0.325241       0.774749E-001            NaN  0.124632                 NaN  0.283672                 NaN            NaN            NaN
  1361.11        500.000        99.1972       0.751385E-001  0.323170                 NaN  0.123787                 NaN  0.280683                 NaN            NaN            NaN
  1360.04        500.000        99.2068       0.704627E-001  0.321203                 NaN  0.124040                 NaN  0.277495                 NaN            NaN            NaN
  1358.97        500.000        99.2134       0.320089       0.671992E-001            NaN  0.123985                 NaN  0.275332                 NaN            NaN            NaN
  1357.90        500.000        99.2212       0.636078E-001  0.318737                 NaN  0.123800                 NaN  0.272705                 NaN            NaN            NaN
  1356.84        500.000        99.2289       0.317221       0.602786E-001            NaN  0.123513                 NaN  0.270136                 NaN            NaN            NaN
  1355.77        500.000        99.2368       0.315106       0.575984E-001            NaN  0.123115                 NaN  0.267372                 NaN            NaN            NaN
  1354.70        500.000        99.2443       0.313704       0.541797E-001            NaN  0.122938                 NaN  0.264835                 NaN            NaN            NaN
  1353.63        500.000        99.2521       0.512469E-001  0.311814                 NaN  0.122652                 NaN  0.262202                 NaN            NaN            NaN
  1352.56        500.000        99.2592       0.310554       0.477923E-001            NaN  0.122626                 NaN  0.259798                 NaN            NaN            NaN
  1351.49        500.000        99.2668       0.308757       0.455407E-001            NaN  0.121788                 NaN  0.257083                 NaN            NaN            NaN
  1350.43        500.000        99.2737       0.307298       0.425774E-001            NaN  0.121620                 NaN  0.254764                 NaN            NaN            NaN
  1349.36        500.000        99.2807       0.305624       0.402629E-001            NaN  0.121088                 NaN  0.252290                 NaN            NaN            NaN
  1348.29        500.000        99.2879       0.303524       0.381818E-001            NaN  0.120616                 NaN  0.249828                 NaN            NaN            NaN
  1347.22        500.000        99.2841       0.307981                 NaN            NaN  0.150486                 NaN  0.257478                 NaN            NaN            NaN
  1346.15        500.000        99.3122       0.287271       0.771238E-001            NaN  0.884549E-001            NaN  0.234923                 NaN            NaN            NaN
  1345.08        500.000        99.3077       0.299478       0.311769E-001            NaN  0.118843                 NaN  0.242784                 NaN            NaN            NaN
  1344.02        500.000        99.3129       0.299441E-001  0.297986                 NaN  0.118219                 NaN  0.240911                 NaN            NaN            NaN
  1342.95        500.000        99.3205       0.269368E-001  0.297332                 NaN  0.117260                 NaN  0.237964                 NaN            NaN            NaN
  1341.88        500.000        99.3268       0.295616       0.246052E-001            NaN  0.117023                 NaN  0.235942                 NaN            NaN            NaN
  1340.81        500.000        99.0937       0.406378       0.200267E-001            NaN  0.161174                 NaN  0.318751                 NaN            NaN            NaN
  1339.74        500.000        99.5775       0.182308       0.248144E-001            NaN  0.691877E-001            NaN  0.146235                 NaN            NaN            NaN
  1338.67        500.000        99.3449       0.291236       0.195910E-001            NaN  0.114887                 NaN  0.229378                 NaN            NaN            NaN
  1337.61        500.000        99.3512       0.290082       0.176071E-001            NaN  0.114048                 NaN  0.227041                 NaN            NaN            NaN
  1336.54        500.000        99.3567       0.288344       0.169930E-001            NaN  0.112981                 NaN  0.224945                 NaN            NaN            NaN
  1335.47        500.000        99.3630       0.154310E-001  0.286543                 NaN  0.112323                 NaN  0.222737                 NaN            NaN            NaN
  1334.40        500.000        99.3511       0.246849       0.958282E-001            NaN  0.841663E-001            NaN  0.222048                 NaN            NaN            NaN
  1333.33        500.000        99.3808       0.287633                 NaN            NaN  0.114739                 NaN  0.216877                 NaN            NaN            NaN
  1332.26        500.000        99.3820       0.287056                 NaN            NaN  0.114313                 NaN  0.216613                 NaN            NaN            NaN
  1331.19        500.000        99.3873       0.284775                 NaN            NaN  0.113307                 NaN  0.214638                 NaN            NaN            NaN
  1330.13        500.000        99.3899       0.284611                 NaN            NaN  0.112055                 NaN  0.213473                 NaN            NaN            NaN
  1329.06        500.000        99.3989       0.282900                 NaN            NaN  0.108478                 NaN  0.209733                 NaN            NaN            NaN
  1327.99        500.000        99.3986       0.267528       0.254996E-001            NaN  0.100013                 NaN  0.208319                 NaN            NaN            NaN
  1326.92        500.000        99.4032       0.258028E-001  0.266191                 NaN  0.984239E-001            NaN  0.206364                 NaN            NaN            NaN
  1325.85        500.000        99.3761       0.173353       0.209889                 NaN  0.365667E-001            NaN  0.204120                 NaN            NaN            NaN
  1324.78        500.000        99.4186       0.292657E-002  0.272223                 NaN  0.104118                 NaN  0.202169                 NaN            NaN            NaN
  1323.72        500.000        99.4231       0.270877                 NaN            NaN  0.105201                 NaN  0.200818                 NaN            NaN            NaN
  1322.65        500.000        99.4275       0.270358                 NaN            NaN  0.103150                 NaN  0.198954                 NaN            NaN            NaN
  1321.58        500.000        99.4321       0.269616                 NaN            NaN  0.101289                 NaN  0.197016                 NaN            NaN            NaN
  1320.51        500.000        99.4362       0.267867                 NaN            NaN  0.100504                 NaN  0.195455                 NaN            NaN            NaN
  1319.44        500.000        99.4381       0.264965       0.651255E-002            NaN  0.962062E-001            NaN  0.194223                 NaN            NaN            NaN
