|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/GRV/GRV_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.10        500.000       0.121650E-001   99.9681       0.197563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.100156E-003   99.2234       0.569588E-002  0.770779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.1287       0.356455E-004  0.871291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.1335                 NaN  0.866547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.1304       0.162070E-001  0.853417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.1559                 NaN  0.844084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.1501                 NaN  0.849940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.1533                 NaN  0.846695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.1559                 NaN  0.844070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.1637                 NaN  0.836335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.1664                 NaN  0.833641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.1704                 NaN  0.829555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.1727                 NaN  0.827259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.1786                 NaN  0.821370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.1827                 NaN  0.817266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.1848                 NaN  0.815227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.1894                 NaN  0.810562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.1780                 NaN  0.743016       0.790219E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.0020                 NaN            NaN  0.998045                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   98.9667                 NaN            NaN   1.03332                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000       0.333902E-002   98.9009                 NaN            NaN   1.09572                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.879809E-002   98.9311                 NaN            NaN   1.06012                 NaN            NaN            NaN            NaN            NaN            NaN
