|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/GRV/GRV_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.10        500.000       0.757672E-002   99.9757       0.166951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.624330E-004   99.3190       0.481464E-002  0.676113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.2358       0.301129E-004  0.764157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.2401                 NaN  0.759867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.2381       0.136843E-001  0.748187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.2602                 NaN  0.739789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.2552                 NaN  0.744781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.2583                 NaN  0.741714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.2607                 NaN  0.739294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.2678                 NaN  0.732223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.2703                 NaN  0.729691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.2740                 NaN  0.725960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.2763                 NaN  0.723727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.2816                 NaN  0.718420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.2853                 NaN  0.714663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.2874                 NaN  0.712649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.2915                 NaN  0.708517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.2814                 NaN  0.649206       0.693828E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.1238                 NaN            NaN  0.876164                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   99.0931                 NaN            NaN  0.906939                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000       0.207766E-002   99.0363                 NaN            NaN  0.961650                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.547431E-002   99.0647                 NaN            NaN  0.929871                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.678538E-002   99.0069                 NaN            NaN  0.986301                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.678334E-002   98.9641                 NaN            NaN   1.02907                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.684242E-002   98.5689                 NaN            NaN  0.731434       0.692775                 NaN            NaN            NaN            NaN            NaN
  1528.76        500.000       0.671926E-002   98.3878                 NaN            NaN  0.482998        1.12246                 NaN            NaN            NaN            NaN            NaN
  1527.34        500.000       0.655465E-002   98.4207                 NaN            NaN   1.09996       0.472749                 NaN            NaN            NaN            NaN            NaN
  1525.93        500.000       0.643936E-002   98.4415                 NaN            NaN   1.08793       0.464162                 NaN            NaN            NaN            NaN            NaN
  1524.51        500.000       0.628171E-002   98.4687                 NaN            NaN   1.06963       0.455410                 NaN            NaN            NaN            NaN            NaN
  1523.10        500.000       0.615528E-002   98.4918                 NaN            NaN   1.05309       0.448990                 NaN            NaN            NaN            NaN            NaN
  1521.69        500.000       0.600798E-002   98.5155                 NaN            NaN   1.03871       0.439760                 NaN            NaN            NaN            NaN            NaN
  1520.27        500.000       0.592374E-002   98.5254                 NaN            NaN   1.03646       0.432258                 NaN            NaN            NaN            NaN            NaN
  1518.86        500.000       0.570113E-002   98.5708                 NaN            NaN  0.422408        1.00114                 NaN            NaN            NaN            NaN            NaN
  1517.45        500.000       0.843157E-003   98.5741                 NaN  0.323290        1.10173                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000       0.522520E-003   98.5910                 NaN  0.333173        1.07530                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000       0.380096E-003   98.6150                 NaN  0.327997        1.05662                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.384133E-003   98.3958                 NaN  0.373746        1.23004                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.793729E-004   98.9007                 NaN  0.261348       0.837904                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.325695E-004   98.6798                 NaN  0.311627        1.00853                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000                 NaN   98.7016                 NaN  0.305778       0.992600                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000       0.145427E-003   98.7211                 NaN  0.297026       0.981722                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.166484E-003   98.7419                 NaN  0.291139       0.966844                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.7602                 NaN  0.284818       0.955025                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.7746                 NaN  0.278944       0.946454                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.8026                 NaN  0.272681       0.924758                 NaN            NaN            NaN            NaN            NaN            NaN
