|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/TAY13/TAY13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1596.15        2500.00       0.169394E-002   99.5278       0.457917       0.126206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00       0.180747E-002   99.2485       0.649059       0.100604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00                 NaN   99.2510       0.655958       0.930500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00                 NaN   99.2525       0.655712       0.918377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00                 NaN   99.2613       0.648672       0.900734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.2738       0.637265       0.889697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00                 NaN   99.2759       0.635408       0.886814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00                 NaN   98.8132        1.04518       0.141601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00                 NaN   99.7568       0.214122       0.290356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00                 NaN   99.2949       0.620057       0.850129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00                 NaN   99.3018       0.613824       0.843508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN   99.3070       0.609150       0.838451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00                 NaN   99.3156       0.601941       0.824511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00                 NaN   99.3200       0.598505       0.814592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00                 NaN   99.3200       0.595838       0.841555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00                 NaN   99.3388       0.583918       0.772660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00                 NaN   99.2634       0.655070       0.815619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00                 NaN   99.4135       0.517921       0.686141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00                 NaN   99.3480       0.575264       0.767327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00                 NaN   99.3537       0.571801       0.745119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00                 NaN   99.3584       0.568189       0.734238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00                 NaN   99.3630       0.563053       0.739581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00                 NaN   99.3707       0.558026       0.713105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.3734       0.556389       0.702353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00                 NaN   99.3791       0.551051       0.698685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00                 NaN   99.3826       0.549096       0.682577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00                 NaN   99.3881       0.543261       0.686220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00                 NaN   99.3938       0.539653       0.665391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00                 NaN   99.4000       0.533315       0.667067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00                 NaN   99.4020       0.533519       0.645194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00                 NaN   99.4060       0.529790       0.642326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN   99.4116       0.526305       0.620596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00                 NaN   99.3495       0.580947       0.695770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00                 NaN   99.4872       0.458949       0.538810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00                 NaN   99.4251       0.514810       0.600924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00                 NaN   99.4261       0.515654       0.582198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00                 NaN   99.3869       0.551379       0.617165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00                 NaN   99.4824       0.466234       0.514086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00                 NaN   99.4425       0.499832       0.577165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN   99.4459       0.498008       0.560888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00                 NaN   99.4500       0.494319       0.556683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00                 NaN   99.4508       0.496126       0.530645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00                 NaN   99.4583       0.488142       0.535213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00                 NaN   99.4593       0.489157       0.515456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00                 NaN   99.4640       0.484854       0.511565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00                 NaN   99.6662       0.304016       0.297835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00                 NaN   99.2711       0.660524       0.683758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.4748       0.477253       0.479912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00                 NaN   99.3822       0.556922       0.608490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00                 NaN   99.5806       0.380158       0.392768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00                 NaN   99.4840       0.470665       0.453122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00                 NaN   99.4883       0.466766       0.449189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
