|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        q             
  1426.28        500.000        94.1008        3.70333        2.19587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.8719       0.820248E-001  0.460654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        98.1642        1.17254       0.663249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.3511       0.234241       0.414645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.3566       0.411026       0.232328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.3585       0.231666       0.409878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.3613       0.230493       0.408164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.3421       0.238640       0.418691                 NaN  0.555116E-003            NaN            NaN            NaN            NaN            NaN
  1416.66        500.000        99.3903       0.219960       0.389719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.60        500.000        99.3706       0.227449       0.401921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.53        500.000        99.3741       0.225849       0.400007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.46        500.000        99.3777       0.225341       0.397004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.39        500.000        99.0093       0.390851       0.436417                 NaN            NaN  0.294229E-005  0.163479                 NaN            NaN            NaN
  1411.32        500.000        98.4154       0.658371       0.497285                 NaN            NaN            NaN  0.428909                 NaN            NaN            NaN
  1410.25        500.000        98.4322       0.491159       0.652220                 NaN            NaN            NaN  0.424383                 NaN            NaN            NaN
  1409.19        500.000        98.2527       0.544911       0.727265                 NaN            NaN            NaN  0.475104                 NaN            NaN            NaN
  1408.12        500.000        99.9330       0.162232E-001  0.318637E-001            NaN  0.855827E-003            NaN  0.180766E-001            NaN            NaN            NaN
  1407.05        500.000        97.2188        1.15476       0.875117                 NaN            NaN            NaN  0.751291                 NaN            NaN            NaN
  1405.98        500.000        98.5078       0.621062       0.468033                 NaN            NaN            NaN  0.403101                 NaN            NaN            NaN
  1404.91        500.000        98.4987       0.624562       0.471334                 NaN            NaN            NaN  0.405375                 NaN            NaN            NaN
  1403.84        500.000        98.5666       0.384475       0.494861                 NaN            NaN  0.145542       0.408545                 NaN            NaN            NaN
  1402.78        500.000        98.5599       0.499328       0.379086                 NaN            NaN  0.150741       0.410933                 NaN            NaN            NaN
  1401.71        500.000        98.5727       0.371012       0.495986                 NaN            NaN  0.152582       0.407729                 NaN            NaN            NaN
  1400.64        500.000        98.5951       0.360036       0.491053                 NaN            NaN  0.152807       0.401048                 NaN            NaN            NaN
  1399.57        500.000        98.6068       0.487343       0.353216                 NaN            NaN  0.154402       0.398241                 NaN            NaN            NaN
  1398.50        500.000        98.6242       0.343591       0.482938                 NaN            NaN  0.155779       0.393533                 NaN            NaN            NaN
  1397.43        500.000        98.6405       0.478801       0.335223                 NaN            NaN  0.156550       0.388886                 NaN            NaN            NaN
  1396.37        500.000        98.6556       0.475504       0.326060                 NaN            NaN  0.157848       0.385005                 NaN            NaN            NaN
  1395.30        500.000        98.6668       0.315454       0.472828                 NaN            NaN  0.161421       0.383464                 NaN            NaN            NaN
  1394.23        500.000        98.6870       0.468570       0.311759                 NaN            NaN  0.157385       0.375292                 NaN            NaN            NaN
  1393.16        500.000        98.6998       0.301771       0.464512                 NaN            NaN  0.161125       0.372816                 NaN            NaN            NaN
  1392.09        500.000        98.7124       0.461141       0.293966                 NaN            NaN  0.162956       0.369501                 NaN            NaN            NaN
  1391.02        500.000        98.7279       0.286295       0.457480                 NaN            NaN  0.163226       0.365089                 NaN            NaN            NaN
  1389.96        500.000        98.7405       0.278639       0.454571                 NaN            NaN  0.164574       0.361702                 NaN            NaN            NaN
  1388.89        500.000        98.7535       0.270822       0.451781                 NaN            NaN  0.165744       0.358152                 NaN            NaN            NaN
  1387.82        500.000        98.7665       0.448558       0.263427                 NaN            NaN  0.166790       0.354725                 NaN            NaN            NaN
  1386.75        500.000        98.7805       0.445437       0.255558                 NaN            NaN  0.167776       0.350699                 NaN            NaN            NaN
