|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/TIS/TIS_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          O(HP)          an             ilm            San(TH)        q             
  1426.28        500.000        94.9964        1.79597        3.20768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.4517       0.359652       0.188669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.4528       0.358846       0.188352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.4576       0.186189       0.356189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.4590       0.354616       0.186408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.4678       0.183186       0.349036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.4661       0.186839       0.345584                 NaN  0.151512E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        98.9880       0.665593       0.343091                 NaN            NaN  0.329237E-002            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.9588       0.145239E-001  0.266363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.66        500.000        99.4842       0.177471       0.338304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.60        500.000        98.6014       0.538694       0.428556                 NaN  0.478094E-002            NaN            NaN  0.426526                 NaN            NaN            NaN
  1414.53        500.000        98.5538       0.566559       0.417537                 NaN            NaN            NaN            NaN  0.462087                 NaN            NaN            NaN
  1413.46        500.000        98.5206       0.570746       0.436585                 NaN            NaN            NaN            NaN  0.472077                 NaN            NaN            NaN
  1412.39        500.000        98.5887       0.544299       0.416927                 NaN            NaN            NaN            NaN  0.450108                 NaN            NaN            NaN
  1411.32        500.000        98.5846       0.545483       0.418559                 NaN            NaN            NaN            NaN  0.451349                 NaN            NaN            NaN
  1410.25        500.000        98.6041       0.538517       0.412222                 NaN            NaN  0.104394E-005            NaN  0.445109                 NaN            NaN            NaN
  1409.19        500.000        98.6214       0.409600       0.522710                 NaN            NaN  0.529794E-002            NaN  0.441027                 NaN            NaN            NaN
  1408.12        500.000        98.6455       0.345909       0.443817                 NaN            NaN  0.110027                 NaN  0.454778                 NaN            NaN            NaN
  1407.05        500.000        98.6627       0.337651       0.439484                 NaN            NaN  0.110722                 NaN  0.449442                 NaN            NaN            NaN
  1405.98        500.000        98.6803       0.435398       0.328551                 NaN            NaN  0.111610                 NaN  0.444106                 NaN            NaN            NaN
  1404.91        500.000        98.6971       0.320595       0.431112                 NaN            NaN  0.112244                 NaN  0.438936                 NaN            NaN            NaN
  1403.84        500.000        98.7135       0.312386       0.427369                 NaN            NaN  0.112989                 NaN  0.433711                 NaN            NaN            NaN
  1402.78        500.000        98.7322       0.423214       0.302937                 NaN            NaN  0.113724                 NaN  0.427906                 NaN            NaN            NaN
  1401.71        500.000        98.7477       0.418829       0.295773                 NaN            NaN  0.114514                 NaN  0.423188                 NaN            NaN            NaN
