|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/TIS/TIS_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          O(HP)          an             ilm            San(TH)        q             
  1426.28        500.000        94.1737        2.11009        3.71620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.3564       0.420111       0.223518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3573       0.419381       0.223278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.3628       0.220801       0.416422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.3641       0.414744       0.221184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.3741       0.217489       0.408376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.3712       0.221938       0.404543                 NaN  0.235685E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        98.8095       0.778858       0.407489                 NaN            NaN  0.417839E-002            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.9515       0.172894E-001  0.312339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.66        500.000        99.3923       0.211157       0.396513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.60        500.000        98.4398       0.640988       0.502274                 NaN  0.742625E-002            NaN            NaN  0.409473                 NaN            NaN            NaN
  1414.53        500.000        98.3919       0.674694       0.489660                 NaN            NaN            NaN            NaN  0.443698                 NaN            NaN            NaN
  1413.46        500.000        98.3540       0.680280       0.512382                 NaN            NaN            NaN            NaN  0.453364                 NaN            NaN            NaN
  1412.39        500.000        98.4288       0.649240       0.489596                 NaN            NaN            NaN            NaN  0.432385                 NaN            NaN            NaN
  1411.32        500.000        98.4234       0.651129       0.491794                 NaN            NaN            NaN            NaN  0.433664                 NaN            NaN            NaN
  1410.25        500.000        98.4441       0.643386       0.484714                 NaN            NaN  0.134014E-005            NaN  0.427769                 NaN            NaN            NaN
  1409.19        500.000        98.4623       0.481954       0.624984                 NaN            NaN  0.681165E-002            NaN  0.423948                 NaN            NaN            NaN
  1408.12        500.000        98.4845       0.413930       0.522573                 NaN            NaN  0.141679                 NaN  0.437321                 NaN            NaN            NaN
  1407.05        500.000        98.5024       0.404469       0.517939                 NaN            NaN  0.142840                 NaN  0.432358                 NaN            NaN            NaN
  1405.98        500.000        98.5209       0.513542       0.393926                 NaN            NaN  0.144207                 NaN  0.427395                 NaN            NaN            NaN
  1404.91        500.000        98.5384       0.384777       0.508922                 NaN            NaN  0.145308                 NaN  0.422591                 NaN            NaN            NaN
  1403.84        500.000        98.5555       0.375340       0.504917                 NaN            NaN  0.146490                 NaN  0.417734                 NaN            NaN            NaN
  1402.78        500.000        98.5753       0.500433       0.364284                 NaN            NaN  0.147693                 NaN  0.412318                 NaN            NaN            NaN
  1401.71        500.000        98.5914       0.495679       0.356024                 NaN            NaN  0.148983                 NaN  0.407947                 NaN            NaN            NaN
  1400.64        500.000        98.6078       0.346848       0.492209                 NaN            NaN  0.149745                 NaN  0.403378                 NaN            NaN            NaN
  1399.57        500.000        98.6261       0.336643       0.487966                 NaN            NaN  0.150937                 NaN  0.398402                 NaN            NaN            NaN
  1398.50        500.000        98.6412       0.484358       0.328332                 NaN            NaN  0.151903                 NaN  0.394168                 NaN            NaN            NaN
  1397.43        500.000        98.6565       0.480522       0.319799                 NaN            NaN  0.153187                 NaN  0.390012                 NaN            NaN            NaN
  1396.37        500.000        98.6734       0.476427       0.310258                 NaN            NaN  0.154499                 NaN  0.385461                 NaN            NaN            NaN
  1395.30        500.000        98.6871       0.473716       0.302118                 NaN            NaN  0.155519                 NaN  0.381549                 NaN            NaN            NaN
  1394.23        500.000        98.7024       0.294013       0.469768                 NaN            NaN  0.156416                 NaN  0.377374                 NaN            NaN            NaN
  1393.16        500.000        98.7095       0.288613       0.467465                 NaN            NaN  0.158500                 NaN  0.375891                 NaN            NaN            NaN
  1392.09        500.000        98.7370       0.274652       0.463948                 NaN            NaN  0.157504                 NaN  0.366898                 NaN            NaN            NaN
  1391.02        500.000        98.7450       0.270857       0.459044                 NaN            NaN  0.159600                 NaN  0.365473                 NaN            NaN            NaN
  1389.96        500.000        98.7608       0.456084       0.261640                 NaN            NaN  0.160508                 NaN  0.361010                 NaN            NaN            NaN
  1388.89        500.000        98.7724       0.453194       0.254133                 NaN            NaN  0.162172                 NaN  0.358132                 NaN            NaN            NaN
  1387.82        500.000        98.7871       0.257749       0.447008                 NaN            NaN  0.155431                 NaN  0.352754                 NaN            NaN            NaN
  1386.75        500.000        98.7990       0.450710       0.228532                 NaN            NaN  0.170325                 NaN  0.351429                 NaN            NaN            NaN
  1385.68        500.000        98.8067       0.233115       0.445428                 NaN            NaN  0.166051                 NaN  0.348740                 NaN            NaN            NaN
  1384.61        500.000        98.8278       0.241392       0.436502                 NaN            NaN  0.153736                 NaN  0.340533                 NaN            NaN            NaN
  1383.55        500.000        98.8375       0.443674       0.201319                 NaN            NaN  0.176244                 NaN  0.341225                 NaN            NaN            NaN
  1382.48        500.000        98.8412       0.213043       0.439947                 NaN            NaN  0.167065                 NaN  0.338707                 NaN            NaN            NaN
  1381.41        500.000        98.8639       0.433143       0.203246                 NaN            NaN  0.167408                 NaN  0.332254                 NaN            NaN            NaN
  1380.34        500.000        98.8731       0.430877       0.197300                 NaN            NaN  0.168916                 NaN  0.329761                 NaN            NaN            NaN
  1379.27        500.000        98.8841       0.191208       0.428808                 NaN            NaN  0.169302                 NaN  0.326552                 NaN            NaN            NaN
  1378.20        500.000        98.8923       0.184403       0.428327                 NaN            NaN  0.170627                 NaN  0.324353                 NaN            NaN            NaN
  1377.13        500.000        98.9037       0.176182       0.426515                 NaN            NaN  0.172194                 NaN  0.321402                 NaN            NaN            NaN
  1376.07        500.000        98.9192       0.419926       0.174610                 NaN            NaN  0.169973                 NaN  0.316335                 NaN            NaN            NaN
  1375.00        500.000        98.9270       0.419880       0.166165                 NaN            NaN  0.172463                 NaN  0.314529                 NaN            NaN            NaN
  1373.93        500.000        98.9374       0.417308       0.160795                 NaN            NaN  0.172952                 NaN  0.311528                 NaN            NaN            NaN
  1372.86        500.000        98.9484       0.153306       0.415856                 NaN            NaN  0.173894                 NaN  0.308583                 NaN            NaN            NaN
  1371.79        500.000        98.9586       0.148488       0.413347                 NaN            NaN  0.174139                 NaN  0.305413                 NaN            NaN            NaN
  1370.72        500.000        98.9678       0.410978       0.143623                 NaN            NaN  0.174763                 NaN  0.302848                 NaN            NaN            NaN
  1369.66        500.000        98.9768       0.410080       0.137231                 NaN            NaN  0.175662                 NaN  0.300204                 NaN            NaN            NaN
  1368.59        500.000        98.9876       0.132390       0.407549                 NaN            NaN  0.175478                 NaN  0.297029                 NaN            NaN            NaN
  1367.52        500.000        98.9979       0.405426       0.125905                 NaN            NaN  0.176471                 NaN  0.294325                 NaN            NaN            NaN
  1366.45        500.000        99.0064       0.121466       0.403750                 NaN            NaN  0.176665                 NaN  0.291674                 NaN            NaN            NaN
  1365.38        500.000        99.0163       0.402262       0.114949                 NaN            NaN  0.177508                 NaN  0.288953                 NaN            NaN            NaN
  1364.31        500.000        99.0245       0.399813       0.111766                 NaN            NaN  0.177475                 NaN  0.286426                 NaN            NaN            NaN
  1363.25        500.000        99.0329       0.397585       0.107540                 NaN            NaN  0.177933                 NaN  0.284047                 NaN            NaN            NaN
  1362.18        500.000        99.0431       0.102137       0.395763                 NaN            NaN  0.177972                 NaN  0.281054                 NaN            NaN            NaN
  1361.11        500.000        99.0512       0.962589E-001  0.394908                 NaN            NaN  0.178760                 NaN  0.278880                 NaN            NaN            NaN
  1360.04        500.000        99.0603       0.925449E-001  0.393057                 NaN            NaN  0.178147                 NaN  0.275958                 NaN            NaN            NaN
  1358.97        500.000        99.0672       0.393214       0.857900E-001            NaN            NaN  0.179696                 NaN  0.274119                 NaN            NaN            NaN
  1357.90        500.000        99.0768       0.388894       0.851867E-001            NaN            NaN  0.178069                 NaN  0.271091                 NaN            NaN            NaN
  1356.84        500.000        99.0837       0.814320E-001  0.388144                 NaN            NaN  0.177974                 NaN  0.268774                 NaN            NaN            NaN
  1355.77        500.000        99.0922       0.769970E-001  0.386254                 NaN            NaN  0.178227                 NaN  0.266357                 NaN            NaN            NaN
  1354.70        500.000        99.0972       0.731582E-001  0.385660                 NaN            NaN  0.179004                 NaN  0.264957                 NaN            NaN            NaN
  1353.63        500.000        99.1087       0.698984E-001  0.382462                 NaN            NaN  0.177584                 NaN  0.261314                 NaN            NaN            NaN
  1352.56        500.000        99.1146       0.648617E-001  0.382364                 NaN            NaN  0.178535                 NaN  0.259667                 NaN            NaN            NaN
  1351.49        500.000        99.1232       0.380278       0.612255E-001            NaN            NaN  0.178223                 NaN  0.257120                 NaN            NaN            NaN
  1350.43        500.000        99.1305       0.584318E-001  0.378426                 NaN            NaN  0.177803                 NaN  0.254847                 NaN            NaN            NaN
  1349.36        500.000        99.1365       0.540393E-001  0.378199                 NaN            NaN  0.178149                 NaN  0.253075                 NaN            NaN            NaN
  1348.29        500.000        99.1463       0.519421E-001  0.374714                 NaN            NaN  0.176963                 NaN  0.250052                 NaN            NaN            NaN
  1347.22        500.000        99.1520       0.373603       0.489803E-001            NaN            NaN  0.177126                 NaN  0.248333                 NaN            NaN            NaN
  1346.15        500.000        99.1555       0.375286       0.430121E-001            NaN            NaN  0.178651                 NaN  0.247568                 NaN            NaN            NaN
  1345.08        500.000        99.1703       0.367493       0.453866E-001            NaN            NaN  0.174466                 NaN  0.242353                 NaN            NaN            NaN
  1344.02        500.000        99.1749       0.368422       0.390713E-001            NaN            NaN  0.176112                 NaN  0.241543                 NaN            NaN            NaN
  1342.95        500.000        99.1804       0.367476       0.376906E-001            NaN            NaN  0.174954                 NaN  0.239457                 NaN            NaN            NaN
  1341.88        500.000        99.1861       0.359989E-001  0.365682                 NaN            NaN  0.174477                 NaN  0.237737                 NaN            NaN            NaN
  1340.81        500.000        99.1939       0.318424E-001  0.364816                 NaN            NaN  0.174148                 NaN  0.235298                 NaN            NaN            NaN
  1339.74        500.000        99.1978       0.280972E-001  0.365051                 NaN            NaN  0.174818                 NaN  0.234232                 NaN            NaN            NaN
  1338.67        500.000        99.2072       0.359879       0.310254E-001            NaN            NaN  0.171071                 NaN  0.230846                 NaN            NaN            NaN
  1337.61        500.000        99.2127       0.359815       0.237682E-001            NaN            NaN  0.173768                 NaN  0.229982                 NaN            NaN            NaN
  1336.54        500.000        99.2184       0.360301       0.228296E-001            NaN            NaN  0.171031                 NaN  0.227416                 NaN            NaN            NaN
  1335.47        500.000        99.2271       0.233943E-001  0.355712                 NaN            NaN  0.169278                 NaN  0.224522                 NaN            NaN            NaN
  1334.40        500.000        99.2295       0.198366E-001  0.357388                 NaN            NaN  0.169416                 NaN  0.223856                 NaN            NaN            NaN
  1333.33        500.000        99.2377       0.192803E-001  0.353423                 NaN            NaN  0.168197                 NaN  0.221382                 NaN            NaN            NaN
  1332.26        500.000        99.2436       0.351956       0.180593E-001            NaN            NaN  0.167021                 NaN  0.219377                 NaN            NaN            NaN
  1331.19        500.000        99.2468       0.352426       0.153094E-001            NaN            NaN  0.167002                 NaN  0.218458                 NaN            NaN            NaN
  1330.13        500.000        99.2558       0.349547       0.146587E-001            NaN            NaN  0.164718                 NaN  0.215322                 NaN            NaN            NaN
  1329.06        500.000        99.2606       0.136266E-001  0.347948                 NaN            NaN  0.163980                 NaN  0.213813                 NaN            NaN            NaN
  1327.99        500.000        99.2656       0.130176E-001  0.346435                 NaN            NaN  0.162768                 NaN  0.212149                 NaN            NaN            NaN
  1326.92        500.000        99.2708       0.345174       0.125226E-001            NaN            NaN  0.161170                 NaN  0.210362                 NaN            NaN            NaN
  1325.85        500.000        99.2763       0.343643       0.114238E-001            NaN            NaN  0.160061                 NaN  0.208551                 NaN            NaN            NaN
  1324.78        500.000        99.2806       0.341874       0.123537E-001            NaN            NaN  0.158165                 NaN  0.207014                 NaN            NaN            NaN
  1323.72        500.000        99.2863       0.341666       0.936363E-002            NaN            NaN  0.157575                 NaN  0.205108                 NaN            NaN            NaN
  1322.65        500.000        99.2920       0.105292E-001  0.338826                 NaN            NaN  0.155458                 NaN  0.203154                 NaN            NaN            NaN
  1321.58        500.000        99.2956       0.342315                 NaN            NaN            NaN  0.159124                 NaN  0.202996                 NaN            NaN            NaN
  1320.51        500.000        99.3063       0.137876E-001  0.331951                 NaN            NaN  0.149945                 NaN  0.198024                 NaN            NaN            NaN
  1319.44        500.000        99.3071       0.892824E-002  0.334379                 NaN            NaN  0.151422                 NaN  0.198189                 NaN            NaN            NaN
  1318.37        500.000        99.3116       0.105103E-001  0.332313                 NaN            NaN  0.149141                 NaN  0.196481                 NaN            NaN            NaN
  1317.31        500.000        99.3072       0.329719                 NaN            NaN            NaN  0.163489                 NaN  0.199594                 NaN            NaN            NaN
  1316.24        500.000        99.3302       0.335556                 NaN            NaN            NaN  0.143878                 NaN  0.190373                 NaN            NaN            NaN
  1315.17        500.000        99.3237       0.408797E-001  0.316016                 NaN            NaN  0.129036                 NaN  0.190325                 NaN            NaN            NaN
  1314.10        500.000        99.3315       0.325002       0.121858E-001            NaN            NaN  0.141718                 NaN  0.189551                 NaN            NaN            NaN
  1313.03        500.000        99.3351       0.324663       0.857452E-002            NaN            NaN  0.142745                 NaN  0.188958                 NaN            NaN            NaN
  1311.96        500.000        99.3407       0.321317       0.150899E-001            NaN            NaN  0.136884                 NaN  0.186046                 NaN            NaN            NaN
